Marca temporal,Número de Señalética,Fecha,Hora,Cuadrilla,Latitud,Longitud,Fotografía (Antes),Fotografía (Después),Tipo de Modificación,Observaciones
2026-04-27 17:34:00,G1-20260427-0026,2026-04-27,17:34,GRUPO 1,-38.739410,-72.596855,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0180.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0183.jpg,Mantención de Señalética,
2026-04-27 17:37:00,G1-20260427-0027,2026-04-27,17:37,GRUPO 1,-38.739399,-72.597115,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0187.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0186.jpg,Mantención de Señalética,
2026-04-27 17:44:00,G1-20260427-0028,2026-04-27,17:44,GRUPO 1,-38.739521,-72.597153,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0190.jpg,,Mantención de Señalética,
2026-04-27 17:45:00,G1-20260427-0029,2026-04-27,17:45,GRUPO 1,-38.739353,-72.599052,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0191.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0192.jpg,Mantención de Señalética,
2026-04-27 17:47:00,G1-20260427-0030,2026-04-27,17:47,GRUPO 1,-38.739166,-72.599335,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0193.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260427-WA0195.jpg,Mantención de Señalética,
2026-04-27 17:50:00,G1-20260427-0031,2026-04-27,17:50,GRUPO 1,-38.739136,-72.599319,,,Mantención de Señalética,
2026-04-28 05:48:00,G1-20260428-0032,2026-04-28,05:48,GRUPO 1,-38.738472,-72.596947,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0007.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0020.jpg,Mantención de Señalética,
2026-04-28 08:55:00,G1-20260428-0033,2026-04-28,08:55,GRUPO 1,-38.738498,-72.596962,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0021.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0037.jpg,Mantención de Señalética,
2026-04-28 09:15:00,G1-20260428-0034,2026-04-28,09:15,GRUPO 1,-38.738453,-72.596748,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0038.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0039.jpg,Mantención de Señalética,
2026-04-28 09:16:00,G1-20260428-0035,2026-04-28,09:16,GRUPO 1,-38.738644,-72.595871,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0043.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0048.jpg,Mantención de Señalética,
2026-04-28 09:24:00,G1-20260428-0036,2026-04-28,09:24,GRUPO 1,-38.738598,-72.595573,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0049.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0054.jpg,Mantención de Señalética,
2026-04-28 09:29:00,G1-20260428-0037,2026-04-28,09:29,GRUPO 1,-38.738743,-72.595116,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0055.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0056.jpg,Mantención de Señalética,
2026-04-28 09:30:00,G1-20260428-0038,2026-04-28,09:30,GRUPO 1,-38.738972,-72.593620,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0057.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0064.jpg,Mantención de Señalética,
2026-04-28 09:42:00,G1-20260428-0039,2026-04-28,09:42,GRUPO 1,-38.739449,-72.596077,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0065.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0069.jpg,Mantención de Señalética,
2026-04-28 09:54:00,G1-20260428-0040,2026-04-28,09:54,GRUPO 1,-38.738667,-72.595840,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0070.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0081.jpg,Mantención de Señalética,
2026-04-28 10:12:00,G1-20260428-0041,2026-04-28,10:12,GRUPO 1,-38.739105,-72.594719,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0084.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0082.jpg,Mantención de Señalética,
2026-04-28 10:16:00,G1-20260428-0042,2026-04-28,10:16,GRUPO 1,-38.739468,-72.594789,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0085.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0089.jpg,Mantención de Señalética,
2026-04-28 10:27:00,G1-20260428-0043,2026-04-28,10:27,GRUPO 1,-38.738697,-72.598656,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0090.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0091.jpg,Mantención de Señalética,
2026-04-28 10:27:00,G1-20260428-0044,2026-04-28,10:27,GRUPO 1,-38.738559,-72.598502,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0092.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0121.jpg,Mantención de Señalética,
2026-04-28 11:24:00,G1-20260428-0045,2026-04-28,11:24,GRUPO 1,-38.741173,-72.584900,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0122.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0123.jpg,Mantención de Señalética,
2026-04-28 11:25:00,G1-20260428-0046,2026-04-28,11:25,GRUPO 1,-38.741084,-72.585606,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0124.jpg,,Mantención de Señalética,
2026-04-28 11:28:00,G1-20260428-0047,2026-04-28,11:28,GRUPO 1,-38.741230,-72.584816,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0126.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0129.jpg,Mantención de Señalética,
2026-04-28 11:33:00,G1-20260428-0048,2026-04-28,11:33,GRUPO 1,-38.741112,-72.585983,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0130.jpg,,Mantención de Señalética,
2026-04-28 11:36:00,G1-20260428-0049,2026-04-28,11:36,GRUPO 1,-38.740978,-72.586740,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0132.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0137.jpg,Mantención de Señalética,
2026-04-28 11:57:00,G1-20260428-0050,2026-04-28,11:57,GRUPO 1,-38.740913,-72.587471,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0138.jpg,,Mantención de Señalética,
2026-04-28 11:59:00,G1-20260428-0051,2026-04-28,11:59,GRUPO 1,-38.740837,-72.587875,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0139.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0140.jpg,Mantención de Señalética,
2026-04-28 12:00:00,G1-20260428-0052,2026-04-28,12:00,GRUPO 1,-38.740952,-72.587952,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0142.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0141.jpg,Mantención de Señalética,
2026-04-28 12:11:00,G1-20260428-0053,2026-04-28,12:11,GRUPO 1,-38.740715,-72.588120,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0144.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0147.jpg,Mantención de Señalética,
2026-04-28 12:22:00,G1-20260428-0054,2026-04-28,12:22,GRUPO 1,-38.740845,-72.588486,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0148.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0191.jpg,Mantención de Señalética,
2026-04-28 14:37:00,G1-20260428-0055,2026-04-28,14:37,GRUPO 1,-38.740646,-72.589249,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0193.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0194.jpg,Mantención de Señalética,
2026-04-28 14:43:00,G1-20260428-0056,2026-04-28,14:43,GRUPO 1,-38.740646,-72.589050,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0195.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0200.jpg,Mantención de Señalética,
2026-04-28 14:47:00,G1-20260428-0057,2026-04-28,14:47,GRUPO 1,-38.740726,-72.588737,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0202.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0222.jpg,Mantención de Señalética,
2026-04-28 15:33:00,G1-20260428-0058,2026-04-28,15:33,GRUPO 1,-38.735680,-72.607445,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0225.jpg,,Mantención de Señalética,
2026-04-28 16:01:00,G1-20260428-0059,2026-04-28,16:01,GRUPO 1,-38.732819,-72.608475,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0229.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0234.jpg,Mantención de Señalética,
2026-04-28 16:21:00,G1-20260428-0060,2026-04-28,16:21,GRUPO 1,-38.739635,-72.589172,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0235.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0236.jpg,Mantención de Señalética,
2026-04-28 16:28:00,G1-20260428-0061,2026-04-28,16:28,GRUPO 1,-38.739482,-72.589013,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0237.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0239.jpg,Mantención de Señalética,
2026-04-28 16:33:00,G1-20260428-0062,2026-04-28,16:33,GRUPO 1,-38.739628,-72.589066,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0243.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0244.jpg,Mantención de Señalética,
2026-04-28 16:38:00,G1-20260428-0063,2026-04-28,16:38,GRUPO 1,-38.739758,-72.588730,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260428-WA0248.jpg,,Mantención de Señalética,
2026-04-29 11:37:00,G1-20260429-0064,2026-04-29,11:37,GRUPO 1,-38.739750,-72.588516,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0049.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0059.jpg,Mantención de Señalética,
2026-04-29 12:10:00,G1-20260429-0065,2026-04-29,12:10,GRUPO 1,-38.739681,-72.588379,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0067.jpg,,Mantención de Señalética,
2026-04-29 12:20:00,G1-20260429-0066,2026-04-29,12:20,GRUPO 1,-38.739783,-72.588330,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0068.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0069.jpg,Mantención de Señalética,
2026-04-29 12:31:00,G1-20260429-0067,2026-04-29,12:31,GRUPO 1,-38.739780,-72.588547,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0071.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0125.jpg,Mantención de Señalética,
2026-04-29 16:28:00,G1-20260429-0068,2026-04-29,16:28,GRUPO 1,-38.739883,-72.587791,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0126.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0127.jpg,Mantención de Señalética,
2026-04-29 16:32:00,G1-20260429-0069,2026-04-29,16:32,GRUPO 1,-38.739754,-72.587944,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0129.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0131.jpg,Mantención de Señalética,
2026-04-29 16:34:00,G1-20260429-0070,2026-04-29,16:34,GRUPO 1,-38.739994,-72.587776,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0132.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0135.jpg,Mantención de Señalética,
2026-04-29 16:44:00,G1-20260429-0071,2026-04-29,16:44,GRUPO 1,-38.739838,-72.587555,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0136.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0142.jpg,Mantención de Señalética,
2026-04-29 16:49:00,G1-20260429-0072,2026-04-29,16:49,GRUPO 1,-38.740021,-72.587234,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0146.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0148.jpg,Mantención de Señalética,
2026-04-29 16:52:00,G1-20260429-0073,2026-04-29,16:52,GRUPO 1,-38.739914,-72.587112,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0158.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0161.jpg,Mantención de Señalética,
2026-04-29 17:00:00,G1-20260429-0074,2026-04-29,17:00,GRUPO 1,-38.740128,-72.586609,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0162.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0164.jpg,Mantención de Señalética,
2026-04-29 17:04:00,G1-20260429-0075,2026-04-29,17:04,GRUPO 1,-38.740105,-72.585442,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0165.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0173.jpg,Mantención de Señalética,
2026-04-29 17:08:00,G1-20260429-0076,2026-04-29,17:08,GRUPO 1,-38.740150,-72.585556,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0174.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260429-WA0181.jpg,Mantención de Señalética,
2026-04-30 10:41:00,G1-20260430-0077,2026-04-30,10:41,GRUPO 1,-38.710861,-72.635666,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260430-WA0056.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260430-WA0219.jpg,Mantención de Señalética,
2026-05-04 08:41:00,G1-20260504-0078,2026-05-04,08:41,GRUPO 1,-38.726566,-72.612984,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260504-WA0009.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260504-WA0045.jpg,Mantención de Señalética,
2026-05-04 10:21:00,G1-20260504-0079,2026-05-04,10:21,GRUPO 1,-38.718040,-72.651329,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260504-WA0046.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260504-WA0048.jpg,Mantención de Señalética,
2026-05-04 10:29:00,G1-20260504-0080,2026-05-04,10:29,GRUPO 1,-38.725433,-72.629356,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260504-WA0049.jpg,Datos Grupos Terreno/Chat de WhatsApp con G1 acrilica Fernando  Pedro G/IMG-20260504-WA0050.jpg,Mantención de Señalética,
